file,label
D:\major project\dataset\face only\FF_Face_only_data\819.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\821.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\821_812.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\823_584.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\824.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\824_419.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\825.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\825_074.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\826.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\826_833.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\827.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\827_817.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\830.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\830_828.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\831.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\831_508.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\832.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\832_762.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\833.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\833_826.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\834_852.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\835.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\835_651.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\836.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\836_950.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\837.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\837_890.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\838.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\838_810.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\839.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\839_864.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\840.mp4,REAL
